              Y               X               Z     Campo-Total
         -9.597          -6.758          -0.100       -22.89299
         11.339          14.381          -0.100        -1.24227
         12.487          -8.763          -0.100        -3.91721
         -6.699          -6.147          -0.100       137.03352
          6.640           1.582          -0.100       -12.73539
          0.324           0.705          -0.100       225.70328
          4.612           0.437          -0.100       -22.21697
          7.850          -0.420          -0.100        -7.40831
         10.574           7.721          -0.100        -6.46277
          9.832          11.152          -0.100        -3.76442
          1.427          10.760          -0.100        -8.29428
        -10.298         -11.353          -0.100        -3.39822
         -7.263         -11.741          -0.100        -4.90073
         -9.356          10.186          -0.100       -10.26262
         -9.861         -10.601          -0.100        -4.66631
         -8.257          -5.772          -0.100       113.71763
          7.830          -8.098          -0.100       286.24182
          6.727         -13.202          -0.100        -6.45286
         14.651           1.429          -0.100        -1.66595
          4.837          -5.175          -0.100      -110.39637
          0.378         -13.949          -0.100        -4.61734
          4.087           3.998          -0.100       284.40648
        -12.200         -12.320          -0.100        -1.95440
        -13.644          10.114          -0.100        -2.96911
         10.279           5.063          -0.100        -6.04900
         -5.212         -11.162          -0.100        -6.99019
        -13.656           8.230          -0.100        -4.14561
          5.464          10.005          -0.100       -15.03001
         11.277           7.026          -0.100        -4.50190
        -12.899          -5.394          -0.100        -4.98148
          5.387           5.856          -0.100       157.34266
         -1.566         -11.549          -0.100        -8.15208
         -2.086           0.415          -0.100      -164.30596
        -11.959         -11.275          -0.100        -2.48920
        -10.623           0.604          -0.100       -37.27222
         -0.561           7.115          -0.100       -25.81832
          2.330         -12.359          -0.100       -10.03761
         -5.186          -2.394          -0.100       -70.23971
          4.407           9.232          -0.100       -27.05567
          9.951           3.372          -0.100        -5.43463
          0.863           0.091          -0.100      -132.44214
        -12.081           8.292          -0.100        -6.78231
        -13.814          -8.975          -0.100        -2.48764
          8.845          10.422          -0.100        -7.37742
          0.762           8.570          -0.100       -19.88115
          0.709         -10.048          -0.100       -26.18553
        -10.760          -3.881          -0.100       -12.12809
         -3.759           5.665          -0.100         8.85253
         14.963          10.475          -0.100        -1.12401
         -1.810          14.769          -0.100        -2.47110
        -14.145          -1.493          -0.100        -5.31309
         -6.586         -11.993          -0.100        -4.77692
         -6.720          11.953          -0.100        -5.63392
         11.835          11.120          -0.100        -2.12049
         -5.951           3.800          -0.100      -181.98731
          9.849           8.785          -0.100        -9.09792
          3.158          11.443          -0.100        -6.84575
         -4.109          -8.134          -0.100       -26.68512
          0.229          12.067          -0.100        -4.97482
         -2.319           8.730          -0.100       -33.72996
          1.565          13.710          -0.100        -3.12641
          0.207          -6.572          -0.100       179.87629
         12.384           7.923          -0.100        -2.77854
         -5.692          -5.264          -0.100      -112.24182
         -6.062         -12.690          -0.100        -3.99193
         13.923          -9.801          -0.100        -2.21095
         11.331         -12.848          -0.100        -2.81997
         -5.066         -10.700          -0.100        -8.42186
          1.408          11.704          -0.100        -5.76047
         -5.841           5.231          -0.100      -101.40183
          1.515           6.344          -0.100       -41.46774
          9.059          -4.469          -0.100       -10.76842
          5.213          -0.102          -0.100       -15.51088
          0.861          -0.351          -0.100      -113.15002
        -12.026          -3.249          -0.100        -8.49526
        -13.859         -10.091          -0.100        -2.09677
          3.161           1.614          -0.100       -50.30561
          0.909          -9.910          -0.100       -30.86127
         14.602           8.846          -0.100        -1.39518
         -0.157          -4.517          -0.100       -98.35156
         -4.174          -3.067          -0.100      -113.26172
          0.286           5.914          -0.100       -33.59215
          0.657          -5.849          -0.100       181.84646
        -11.602          11.291          -0.100        -3.63145
         13.666          11.749          -0.100        -1.26149
          8.936          11.736          -0.100        -3.83742
         -5.229          12.838          -0.100        -4.21654
         13.950          -3.865          -0.100        -2.23470
         -7.805          12.090          -0.100        -5.08264
         13.076          -0.016          -0.100        -2.31438
         -7.890           7.802          -0.100       358.74760
          7.686          -7.200          -0.100      -112.47331
         -0.710          -4.151          -0.100      -156.18305
          0.630          -3.374          -0.100       -64.05688
        -12.016           0.516          -0.100       -15.41793
         14.571           4.626          -0.100        -1.65068
         12.324         -11.006          -0.100        -3.11319
          6.457          -8.801          -0.100       251.91065
         14.107           8.894          -0.100        -1.56185
         -3.029          -5.540          -0.100       262.35269
         -0.303           2.024          -0.100       208.01790
         -7.625          -2.784          -0.100       -44.80573
         -7.042          -2.867          -0.100       -46.40933
        -12.297          -5.015          -0.100        -6.25014
        -11.100           4.128          -0.100       -25.65446
         -9.558          -3.140          -0.100       -21.62191
          6.557         -11.617          -0.100       -15.41447
         13.350          -6.602          -0.100        -2.95075
          2.896         -10.412          -0.100       -37.10958
         -4.652           3.003          -0.100      -149.43841
          2.658          12.688          -0.100        -4.23601
          9.584          -7.007          -0.100       -22.35434
         12.191          13.807          -0.100        -1.20518
         13.433          -4.979          -0.100        -2.69207
         -5.498           9.002          -0.100       -23.32633
         11.650          13.229          -0.100        -1.46438
         -6.730         -13.898          -0.100        -2.73793
         -9.435           9.717          -0.100       -13.40485
          0.837           1.680          -0.100       243.04959
         -7.725          -5.865          -0.100       190.20722
          5.821          -2.551          -0.100       -15.19175
          9.368          11.062          -0.100        -4.49446
         -2.153          -4.378          -0.100       238.26959
          9.796          -6.519          -0.100       -15.60442
         13.616          -3.774          -0.100        -2.40834
         -3.889         -13.870          -0.100        -3.39207
         -6.734          14.720          -0.100        -2.37687
          0.695           9.000          -0.100       -16.06900
        -10.223           2.557          -0.100       -61.47138
          7.602         -14.166          -0.100        -3.97263
        -14.021          -9.806          -0.100        -2.11621
        -11.851          -8.018          -0.100        -4.90925
        -13.142           7.571          -0.100        -5.42612
          1.306           6.464          -0.100       -37.46622
          8.409           0.214          -0.100        -6.49414
         -9.623          -1.587          -0.100       -38.76521
          4.885           9.963          -0.100       -15.43701
         14.576         -10.028          -0.100        -1.81412
          7.781          14.939          -0.100        -1.71440
         -7.861           3.864          -0.100       286.69576
         -8.343         -11.620          -0.100        -4.45305
          1.392           7.425          -0.100       -44.96211
          7.172           9.620          -0.100       -23.72247
          9.219           8.732          -0.100       -16.14133
         10.609           1.952          -0.100        -4.02885
          2.407          -3.165          -0.100       -39.24399
          3.608         -13.103          -0.100        -7.68677
          3.364          -8.458          -0.100       216.91490
         -3.785          -6.165          -0.100       -92.80483
          0.689          -4.392          -0.100      -144.97432
          1.371         -14.684          -0.100        -3.91575
          3.792          -7.357          -0.100       138.03931
         -2.047           2.497          -0.100       108.69701
         12.819           7.311          -0.100        -2.48132
          2.645          -4.150          -0.100       -72.16195
          2.588         -14.841          -0.100        -3.90513
          6.186          -1.816          -0.100       -12.04170
          1.029          -6.613          -0.100       181.25979
        -12.165         -14.639          -0.100        -1.31658
         13.262           7.673          -0.100        -2.13031
          9.840           6.622          -0.100        -9.90965
         -1.361           3.021          -0.100       -10.32071
        -11.090          13.674          -0.100        -2.16712
         -3.084         -10.438          -0.100        -9.95851
         -6.253         -11.883          -0.100        -5.08914
         -4.901          -5.531          -0.100       -96.79602
          5.120           3.104          -0.100       -52.21257
         -7.221         -10.878          -0.100        -7.00794
         12.998           3.653          -0.100        -2.36392
         11.665         -14.355          -0.100        -1.88319
         11.675           8.542          -0.100        -3.44933
          0.031          12.532          -0.100        -4.33765
        -11.172         -14.308          -0.100        -1.56916
         -6.280         -10.981          -0.100        -7.22515
          5.654          -9.103          -0.100       141.54059
          5.730         -13.812          -0.100        -5.45324
         -5.342         -14.692          -0.100        -2.51943
          1.418           5.190          -0.100       -40.08865
         -9.530          -4.738          -0.100       -21.94301
          7.747           6.466          -0.100       -58.77406
          3.470          -7.633          -0.100       144.62854
          4.672         -10.033          -0.100       -66.38847
         -4.305           4.788          -0.100      -177.64094
          4.530           9.406          -0.100       -23.25432
         -2.295           8.472          -0.100       -41.13096
         13.122           2.737          -0.100        -2.27043
         -2.780          13.701          -0.100        -3.25976
          7.659          14.493          -0.100        -1.93694
         -3.676          -8.164          -0.100       -25.10020
        -10.767          -0.763          -0.100       -25.02353
         -1.736           5.902          -0.100       -79.79176
         -6.799          -3.919          -0.100       -60.24343
          6.200          11.361          -0.100        -6.77170
         -5.125           9.457          -0.100       -18.40644
         -0.395          13.231          -0.100        -3.58355
          1.185         -11.000          -0.100       -17.02720
          3.049          -7.083          -0.100       136.64349
         13.297          -7.373          -0.100        -3.03003
        -12.879         -11.479          -0.100        -2.02103
        -12.696           8.771          -0.100        -4.98201
         11.265           3.335          -0.100        -3.66025
         -8.638           3.889          -0.100       326.30553
         -3.503         -14.180          -0.100        -3.22779
         12.211          -3.390          -0.100        -3.32599
         11.796           3.887          -0.100        -3.25118
          4.517         -11.756          -0.100       -15.79418
          6.710          -1.897          -0.100       -10.79267
         -7.721           6.699          -0.100       -94.88294
        -14.662         -10.238          -0.100        -1.76494
          1.152          -3.333          -0.100       -55.53342
         10.246          -4.890          -0.100        -7.65783
          5.884          -0.241          -0.100       -12.43781
          5.447          14.877          -0.100        -2.07011
        -13.515         -13.272          -0.100        -1.37107
        -13.979          13.114          -0.100        -1.61318
        -13.606           9.225          -0.100        -3.53054
         -6.318          -0.134          -0.100      -207.06535
          3.445          -2.069          -0.100       -23.42022
          6.183          10.662          -0.100        -9.96737
          0.622           9.899          -0.100       -10.78367
          1.473          10.319          -0.100       -10.18967
          3.741          -9.562          -0.100      -106.06286
         10.446          14.672          -0.100        -1.33289
         12.178          13.399          -0.100        -1.29469
          0.565          -5.721          -0.100       186.12825
          7.509          -9.384          -0.100      -109.80318
         -0.818          -3.150          -0.100       -89.08619
          4.353          -9.630          -0.100      -104.80680
         -7.245          -5.340          -0.100       189.95840
          8.471          -9.118          -0.100       -75.06622
        -14.221           3.712          -0.100        -5.94831
         13.492         -13.053          -0.100        -1.63850
         -0.377           9.274          -0.100       -12.60440
          8.205          -4.141          -0.100       -13.11884
         12.791          10.229          -0.100        -1.90039
          7.879           9.694          -0.100       -19.62545
          1.289          10.653          -0.100        -8.55891
         11.664         -10.574          -0.100        -4.25922
         14.221           5.547          -0.100        -1.76588
          6.976          14.699          -0.100        -1.95342
          8.423           4.202          -0.100       -11.29865
          3.459          -6.374          -0.100       156.28491
         -6.614           5.029          -0.100       -78.30139
         14.976          10.705          -0.100        -1.09673
          5.178          -9.794          -0.100       -92.01019
          5.001           5.709          -0.100       235.84779
         11.045         -14.089          -0.100        -2.24808
         -0.569          -5.788          -0.100       230.59993
         -0.227          10.316          -0.100        -8.74910
        -10.268         -13.269          -0.100        -2.15972
          9.313          12.617          -0.100        -2.62530
         -5.159          -1.063          -0.100      -110.96361
         10.493          13.885          -0.100        -1.55709
         -2.947           4.797          -0.100       180.71110
          6.847         -11.415          -0.100       -16.90813
        -11.975          -7.352          -0.100        -5.25571
          3.063           2.712          -0.100       255.92910
          3.876          -0.579          -0.100       -21.71942
         -7.924          -6.836          -0.100       238.82082
         -3.249          -6.022          -0.100      -128.50291
          4.756           1.202          -0.100       -29.42952
          0.127         -13.041          -0.100        -6.06772
         -3.378         -12.797          -0.100        -4.67079
          4.173          10.384          -0.100       -11.99285
         -9.167          -6.304          -0.100       -41.30617
         14.118          12.553          -0.100        -1.04496
        -10.018          -2.541          -0.100       -21.23288
         11.707           7.461          -0.100        -3.69339
         -9.638         -13.820          -0.100        -2.07776
          7.593          14.042          -0.100        -2.19793
          9.986          13.125          -0.100        -2.01941
         -5.391          -2.795          -0.100       -60.51661
         -6.102          13.960          -0.100        -2.96948
