              Y               X               Z     Campo-Total
         -0.146          -0.310           0.000       -12.84434
          0.127          -0.059           0.000       -11.10550
          0.331           0.050           0.000        -8.68817
         -0.610          -0.468           0.000        -3.26571
         -0.755           0.936           0.000        -1.70480
         -0.474           0.508           0.000        -7.73766
         -0.379           0.839           0.000        -3.80599
          0.836           0.312           0.000        -2.58888
         -0.516           0.551           0.000        -6.30398
          0.496          -0.539           0.000        -2.73874
          0.044           0.218           0.000       146.68208
         -0.131          -0.599           0.000        -4.18344
          0.010           0.781           0.000        -5.32998
         -0.836          -0.938           0.000        -0.88081
          0.827           0.435           0.000        -2.44615
          0.198          -0.380           0.000        -7.25562
         -0.744          -0.847           0.000        -1.16668
          0.871           0.537           0.000        -2.01154
          0.140          -0.419           0.000        -6.96647
         -0.432          -0.966           0.000        -1.26531
          0.424           0.071           0.000        -7.87989
          0.221           0.885           0.000        -3.54605
         -0.764          -0.207           0.000        -3.65511
          0.002          -0.123           0.000       -19.14821
          0.078           0.569           0.000        -6.01371
         -0.127           0.792           0.000        -5.26397
         -0.190           0.207           0.000       179.39362
         -0.089           0.760           0.000        -5.74972
         -0.216          -0.656           0.000        -3.34448
          0.860          -0.086           0.000        -2.31288
         -0.073           0.551           0.000        -7.34610
         -0.275           0.721           0.000        -5.94003
          0.506          -0.068           0.000        -6.23828
          0.669           0.185           0.000        -4.23866
          0.575          -0.569           0.000        -2.23057
         -0.702           0.855           0.000        -2.18217
         -0.907          -0.100           0.000        -2.70412
         -0.886           0.140           0.000        -3.18338
          0.698           0.121           0.000        -3.92252
         -0.576           0.083           0.000        -9.75019
          0.449           0.357           0.000        -6.12975
         -0.872          -0.170           0.000        -2.79181
          0.607           0.989           0.000        -1.71020
         -0.032           0.052           0.000       477.92594
          0.914          -0.852           0.000        -0.80302
          0.211           0.107           0.000         3.91917
          0.726          -0.553           0.000        -1.74292
         -0.414          -0.808           0.000        -1.86448
         -0.926           0.665           0.000        -1.88513
          0.886          -0.271           0.000        -1.84305
          0.795          -0.871           0.000        -0.91638
         -0.608           0.965           0.000        -2.03139
          0.240          -0.406           0.000        -6.20607
         -0.262          -0.640           0.000        -3.40652
         -0.632           0.103           0.000        -7.79619
         -0.402          -0.104           0.000       -15.89710
          0.183           0.912           0.000        -3.41809
         -0.606           0.093           0.000        -8.62786
          0.974           0.326           0.000        -1.81417
          0.800           0.658           0.000        -2.06081
          0.006          -0.827           0.000        -2.09923
         -0.197           0.046           0.000       235.71681
          0.309          -0.230           0.000        -8.56519
          0.499          -0.292           0.000        -4.60723
         -0.984          -0.402           0.000        -1.59550
         -0.358          -0.877           0.000        -1.64609
         -0.288          -0.119           0.000       -22.35821
          0.598          -0.928           0.000        -1.05706
          0.502           0.444           0.000        -5.24123
         -0.100          -0.008           0.000       217.00392
          0.130          -0.751           0.000        -2.47305
         -0.588           0.778           0.000        -3.17339
          0.738           0.950           0.000        -1.49451
         -0.905          -0.792           0.000        -1.02349
         -0.081          -0.275           0.000       -15.18679
         -0.530          -0.861           0.000        -1.46507
         -0.906           0.785           0.000        -1.65772
          0.928           0.118           0.000        -2.10189
         -0.155           0.559           0.000        -8.72199
         -0.431           0.551           0.000        -7.62068
         -0.113           0.334           0.000        28.39109
         -0.287          -0.341           0.000        -9.48408
         -0.243           0.778           0.000        -5.18978
         -0.805          -0.588           0.000        -1.72257
         -0.313          -0.753           0.000        -2.35107
          0.451          -0.382           0.000        -4.26873
          0.553           0.787           0.000        -2.76040
          0.585           0.403           0.000        -4.59825
         -0.446          -0.661           0.000        -2.63098
          0.468          -0.694           0.000        -2.01304
         -0.380           0.427           0.000       -11.72538
          0.637          -0.898           0.000        -1.06866
         -0.186          -0.768           0.000        -2.42774
          0.445           0.264           0.000        -6.59957
         -0.505          -0.283           0.000        -6.80651
         -0.119          -0.640           0.000        -3.66680
         -0.368           0.694           0.000        -5.76013
          0.303           0.116           0.000        -6.09400
         -0.832          -0.625           0.000        -1.53602
         -0.043          -0.503           0.000        -5.91249
         -0.665           0.112           0.000        -6.83549
         -0.289          -0.976           0.000        -1.35091
         -0.872           0.061           0.000        -3.28770
          0.933          -0.071           0.000        -1.94334
         -0.510          -0.925           0.000        -1.29585
         -0.901           0.553           0.000        -2.30765
         -0.042          -0.068           0.000         7.46152
          0.552          -0.249           0.000        -4.33616
          0.225           0.161           0.000         5.92108
          0.925          -0.417           0.000        -1.43406
          0.615          -0.346           0.000        -3.14747
          0.311           0.607           0.000        -5.61639
          0.137          -0.405           0.000        -7.34272
         -0.793          -0.018           0.000        -4.08161
          0.283           0.592           0.000        -5.83821
          0.346           0.171           0.000        -6.42406
          0.472          -0.279           0.000        -5.04677
          0.143          -0.616           0.000        -3.64368
          0.784           0.123           0.000        -3.08722
         -0.309           0.394           0.000       -13.51007
          0.908          -0.317           0.000        -1.66825
          0.431           0.698           0.000        -4.07007
          0.986           0.387           0.000        -1.71319
         -0.367           0.720           0.000        -5.36781
         -0.541          -0.987           0.000        -1.10307
          0.827           0.458           0.000        -2.40064
         -0.818          -0.393           0.000        -2.36416
         -0.494           0.287           0.000       -11.79374
         -0.528          -0.724           0.000        -2.01784
          0.109          -0.703           0.000        -2.86544
