              Y               X               Z     Campo-Total
         -0.755           0.936           0.000        -0.10537
         -0.474           0.508           0.000        -4.83962
         -0.379           0.839           0.000         2.87088
          0.836           0.312           0.000        -2.49741
         -0.516           0.551           0.000        -3.50331
          0.496          -0.539           0.000         1.14028
          0.044           0.218           0.000       -94.77626
         -0.131          -0.599           0.000         9.50265
          0.010           0.781           0.000        11.03024
         -0.836          -0.938           0.000         1.31505
          0.827           0.435           0.000        -1.59745
          0.198          -0.380           0.000         9.23412
         -0.744          -0.847           0.000         1.81193
          0.871           0.537           0.000        -0.78488
          0.140          -0.419           0.000        11.31202
         -0.432          -0.966           0.000         2.58088
          0.424           0.071           0.000       -16.34639
          0.221           0.885           0.000         6.73965
         -0.764          -0.207           0.000         0.30669
          0.002          -0.123           0.000        73.18393
          0.078           0.569           0.000        20.08067
         -0.127           0.792           0.000         8.87882
         -0.190           0.207           0.000      -163.47615
         -0.089           0.760           0.000        10.60814
         -0.216          -0.656           0.000         7.49327
          0.860          -0.086           0.000        -2.65795
         -0.073           0.551           0.000        20.92418
         -0.275           0.721           0.000         5.79220
          0.506          -0.068           0.000        -7.73843
          0.669           0.185           0.000        -5.65022
          0.575          -0.569           0.000         0.58251
         -0.702           0.855           0.000        -0.25990
         -0.907          -0.100           0.000        -1.20413
         -0.886           0.140           0.000        -3.22165
          0.698           0.121           0.000        -5.29466
         -0.576           0.083           0.000        -9.55075
          0.449           0.357           0.000        -6.54153
         -0.872          -0.170           0.000        -0.56038
          0.607           0.989           0.000         2.06178
         -0.032           0.052           0.000      -167.20608
          0.914          -0.852           0.000         0.06422
          0.211           0.107           0.000       -55.37554
          0.726          -0.553           0.000        -0.19888
         -0.414          -0.808           0.000         3.81159
         -0.926           0.665           0.000        -1.52562
          0.886          -0.271           0.000        -1.64420
          0.795          -0.871           0.000         0.28422
         -0.608           0.965           0.000         0.63688
          0.240          -0.406           0.000         6.87563
         -0.262          -0.640           0.000         7.56589
         -0.632           0.103           0.000        -7.99965
         -0.402          -0.104           0.000        11.64425
          0.183           0.912           0.000         6.63797
         -0.606           0.093           0.000        -8.66227
          0.974           0.326           0.000        -1.65717
          0.800           0.658           0.000         0.08633
          0.006          -0.827           0.000         4.21720
         -0.197           0.046           0.000       -55.15414
          0.309          -0.230           0.000         0.90493
          0.499          -0.292           0.000        -1.43889
         -0.984          -0.402           0.000         0.47961
         -0.358          -0.877           0.000         3.45603
         -0.288          -0.119           0.000        45.62673
          0.598          -0.928           0.000         0.82807
          0.502           0.444           0.000        -2.18618
         -0.100          -0.008           0.000        91.70940
          0.130          -0.751           0.000         4.40282
         -0.588           0.778           0.000        -0.12684
          0.738           0.950           0.000         1.31561
         -0.905          -0.792           0.000         1.23587
         -0.081          -0.275           0.000        42.29960
         -0.530          -0.861           0.000         2.79353
         -0.906           0.785           0.000        -0.96231
          0.928           0.118           0.000        -2.47824
         -0.155           0.559           0.000        14.90768
         -0.431           0.551           0.000        -2.36152
         -0.113           0.334           0.000        16.54690
         -0.287          -0.341           0.000        21.49855
         -0.243           0.778           0.000         6.25604
         -0.805          -0.588           0.000         1.83216
         -0.313          -0.753           0.000         5.05188
          0.451          -0.382           0.000         0.60651
          0.553           0.787           0.000         2.57393
          0.585           0.403           0.000        -3.21725
         -0.446          -0.661           0.000         5.14512
          0.468          -0.694           0.000         1.58395
         -0.380           0.427           0.000        -9.32401
          0.637          -0.898           0.000         0.70761
         -0.186          -0.768           0.000         5.31746
          0.445           0.264           0.000       -11.90007
         -0.505          -0.283           0.000         7.80196
         -0.119          -0.640           0.000         8.19649
         -0.368           0.694           0.000         2.71730
          0.303           0.116           0.000       -32.43264
         -0.832          -0.625           0.000         1.65329
         -0.043          -0.503           0.000        13.31271
         -0.665           0.112           0.000        -7.06934
         -0.289          -0.976           0.000         2.86202
         -0.872           0.061           0.000        -2.83277
          0.933          -0.071           0.000        -2.24005
         -0.510          -0.925           0.000         2.53151
         -0.901           0.553           0.000        -2.23202
         -0.042          -0.068           0.000       126.99103
          0.552          -0.249           0.000        -2.54212
          0.225           0.161           0.000       -51.07185
          0.925          -0.417           0.000        -0.95916
          0.615          -0.346           0.000        -1.25784
          0.311           0.607           0.000         7.56916
          0.137          -0.405           0.000        11.97860
         -0.793          -0.018           0.000        -2.55715
          0.283           0.592           0.000         8.70679
          0.346           0.171           0.000       -25.19504
          0.472          -0.279           0.000        -1.45070
          0.143          -0.616           0.000         6.25015
          0.784           0.123           0.000        -3.90527
         -0.309           0.394           0.000       -11.09232
          0.908          -0.317           0.000        -1.38160
          0.431           0.698           0.000         4.33624
          0.986           0.387           0.000        -1.36452
         -0.367           0.720           0.000         2.91225
         -0.541          -0.987           0.000         2.13477
          0.827           0.458           0.000        -1.41120
