              Y               X               Z     Campo-Total
         -1.130          -1.607           0.000        27.07808
          1.549           2.328           0.000        23.21224
         -0.890           1.121           0.000         9.51639
         -0.773          -3.742           0.000        11.89714
         -0.259           3.672           0.000        15.44668
          2.714          -2.959           0.000        -6.28853
         -0.489          -0.215           0.000      -126.42781
         -2.475          -2.170           0.000        11.45529
          2.513           1.341           0.000        -0.31928
         -2.384          -3.589           0.000         9.19225
          0.103           0.391           0.000      -172.98292
          2.397           1.408           0.000         1.62662
          3.531           1.730           0.000         0.51239
          1.362           0.214           0.000       -82.20558
          1.447           0.030           0.000       -90.55408
          3.173           1.489           0.000        -0.51375
         -0.489          -2.325           0.000        22.22420
          3.910           2.884           0.000         3.30923
         -0.015          -2.801           0.000        13.98917
         -3.592          -0.447           0.000        -2.27693
         -3.722          -1.040           0.000         0.35525
          3.481           0.710           0.000        -7.64089
          1.719           2.353           0.000        20.28799
          2.089           0.193           0.000       -40.78028
          0.306           3.305           0.000        21.42527
         -3.295           0.919           0.000        -6.21786
         -0.989          -0.433           0.000       -13.51228
          2.785           0.902           0.000        -8.64972
         -2.216          -0.500           0.000        -3.05336
         -3.089          -0.032           0.000        -5.33970
          1.518          -1.195           0.000       -58.86212
         -3.797          -1.842           0.000         2.96915
         -2.609          -1.523           0.000         7.88432
          1.137           0.991           0.000         6.69083
         -0.380          -1.715           0.000        23.15579
         -2.684           1.176           0.000        -7.35228
          3.770          -2.895           0.000        -5.37976
         -2.100           3.051           0.000         4.37012
         -2.366          -2.833           0.000        11.59028
         -2.085           2.951           0.000         4.37269
         -0.867           3.618           0.000        12.37496
         -0.176           3.734           0.000        15.21137
          0.323          -2.581           0.000         8.95756
         -3.025           2.968           0.000        -0.04617
         -0.385          -2.406           0.000        20.53718
          2.334          -0.126           0.000       -38.92499
          2.790           1.862           0.000         4.65080
         -3.149          -3.701           0.000         6.20290
          0.010          -0.622           0.000      -148.80175
         -2.522           3.281           0.000         2.28561
          0.529          -0.097           0.000      -350.56816
         -2.174          -1.960           0.000        14.20752
         -1.527          -2.793           0.000        17.44028
         -2.616           0.214           0.000        -8.98264
         -0.691          -1.247           0.000        27.71609
          0.719           0.682           0.000        -2.99600
         -3.200           2.372           0.000        -2.02674
         -1.119          -2.645           0.000        20.59265
         -1.895          -3.285           0.000        12.52419
          1.402          -2.590           0.000        -6.60697
          0.695           2.009           0.000        42.88300
         -0.413           0.019           0.000      -156.89888
          3.166           3.891           0.000         5.99029
          1.860          -2.510           0.000       -10.37445
         -3.249           1.623           0.000        -4.58582
         -3.165           3.457           0.000         0.46462
         -3.920           3.393           0.000        -0.73594
          0.221          -0.331           0.000      -322.05733
          1.125           3.025           0.000        22.39759
          0.411           1.671           0.000        54.45392
          0.408           1.124           0.000        62.27576
          0.582           0.636           0.000         7.67467
         -0.509           0.565           0.000        -4.77721
          1.235           0.797           0.000       -14.98499
         -1.434          -0.237           0.000       -17.65350
          1.229           1.112           0.000        11.53925
          1.299           3.387           0.000        17.52098
         -1.305          -3.530           0.000        13.05060
         -3.419          -2.132           0.000         5.09524
          3.034           0.581           0.000       -12.14505
         -0.954           1.724           0.000        20.77216
          1.689          -2.214           0.000       -15.68876
         -3.035          -1.763           0.000         6.06902
         -2.209           2.298           0.000         1.48190
         -3.667          -3.145           0.000         4.92461
         -2.632          -1.866           0.000         9.39564
         -0.494          -2.592           0.000        20.08686
         -0.296          -2.666           0.000        17.81090
          3.050           0.034           0.000       -18.56196
         -1.168           2.082           0.000        16.02854
         -0.270           0.357           0.000      -112.73703
          3.323          -2.926           0.000        -5.95329
         -0.918          -1.703           0.000        28.51988
         -0.527           0.572           0.000        -7.01764
          1.207          -2.454           0.000        -7.04337
         -0.447           2.000           0.000        36.65938
          1.728          -3.254           0.000        -1.93284
          3.890           0.315           0.000        -8.10347
         -2.374          -3.748           0.000         8.72179
          0.332           0.996           0.000        68.08990
          3.503           1.304           0.000        -2.44998
         -0.984          -0.840           0.000        14.90441
          2.104          -0.350           0.000       -51.84306
         -3.149           0.661           0.000        -6.91252
         -1.767           2.977           0.000         7.01053
          2.060           0.054           0.000       -46.68182
          3.268           0.061           0.000       -15.20270
         -1.801           3.531           0.000         6.23069
          2.547          -1.670           0.000       -21.66355
          1.270          -2.544           0.000        -6.11012
         -2.436           0.786           0.000       -10.34601
          1.177          -2.191           0.000       -12.75559
         -3.906           1.722           0.000        -3.62551
         -2.337           2.758           0.000         2.29760
         -3.277           0.283           0.000        -5.86876
          1.212           2.819           0.000        23.96870
         -2.659          -1.899           0.000         9.27704
          2.519          -1.554           0.000       -23.88283
         -3.657          -0.701           0.000        -1.09390
          3.158          -2.018           0.000       -12.26683
          1.708           0.835           0.000       -15.64649
          1.408           0.001           0.000       -96.61428
          0.609           0.529           0.000       -26.00300
         -0.169           1.157           0.000        61.20773
         -0.544          -2.834           0.000        18.30261
          1.882          -1.552           0.000       -34.26111
          2.005           0.231           0.000       -42.70739
         -1.868          -2.982           0.000        14.23653
         -3.052          -3.814           0.000         6.33303
         -1.596          -2.901           0.000        16.30562
         -2.282           0.126           0.000       -11.21448
          3.667          -3.895           0.000        -2.49869
          2.160           0.503           0.000       -26.76927
          1.402          -3.055           0.000        -1.35682
          3.969          -2.656           0.000        -5.80782
         -2.390          -2.071           0.000        12.13144
         -1.957          -2.923           0.000        13.97440
          1.182          -0.725           0.000      -113.71185
          3.956           3.321           0.000         3.61492
         -1.189          -0.554           0.000        -3.55272
         -2.405           2.422           0.000         0.75379
          3.738           0.687           0.000        -6.62308
         -1.166           3.069           0.000        13.02292
         -1.716          -1.334           0.000        16.38731
          0.379          -2.899           0.000         8.86256
         -2.995           2.462           0.000        -1.36322
         -2.638          -2.767           0.000         9.93364
          2.932          -1.293           0.000       -20.70330
         -3.460          -2.253           0.000         5.13785
          0.107          -0.570           0.000      -232.68146
          3.395           3.890           0.000         5.25375
         -1.320          -3.832           0.000        11.18779
          1.684           3.502           0.000        14.35172
         -2.943          -2.998           0.000         7.93162
          3.360          -2.645           0.000        -7.32543
         -1.345          -1.454           0.000        23.50165
         -1.716           1.245           0.000        -5.63665
         -0.189          -3.505           0.000        11.73291
         -0.457          -0.181           0.000      -149.40719
          1.044          -1.222           0.000       -67.48397
          1.190          -0.917           0.000       -94.14071
         -1.835          -1.413           0.000        15.59432
         -1.152           2.735           0.000        14.87787
         -1.399           0.020           0.000       -27.34571
          1.147          -1.758           0.000       -28.97113
         -2.153           2.174           0.000         1.24174
         -3.393          -2.177           0.000         5.30780
         -1.677           2.829           0.000         7.94323
         -2.764          -3.390           0.000         8.14379
         -0.522          -3.417           0.000        13.61256
