              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
         -8.438          -8.306          -0.100         2.81494         4.89315         1.07413         1.32925         0.92787        -4.14419
         10.160          -9.185          -0.100        -0.98243        -1.67920         0.17760         2.76034        -0.45628        -1.77791
         11.622          -0.879          -0.100        -0.00069         0.09095        -0.00467         0.42918        -0.03155        -0.42849
         14.127          11.588          -0.100        -0.00939         0.19687        -0.00671         0.16620        -0.01090        -0.15681
        -12.393           8.983          -0.100         0.16405        -0.84982        -0.05985         0.53419         0.07862        -0.69824
          4.948          11.409          -0.100         1.27907         0.27132        -0.15738        -0.35487        -0.00716        -0.92420
         -9.094          -8.423          -0.100         0.94348         2.72420         0.34975         1.31271         0.38290        -2.25618
         -5.644         -10.296          -0.100         1.73068         0.07846         0.18481        -0.37046         0.00584        -1.36022
         -6.999           8.964          -0.100         9.21429         5.07854        -4.28740        -2.62484        -1.74225        -6.58945
          4.469         -14.221          -0.100         1.06894        -0.16993         0.07793        -0.41619        -0.00389        -0.65275
        -12.477           8.310          -0.100         0.08819        -0.89703        -0.06406         0.69615         0.09586        -0.78434
        -10.477           5.953          -0.100         0.63618        -2.74070        -0.41281         2.56595         0.75525        -3.20213
          3.482          10.821          -0.100         1.71941         0.05122        -0.24315        -0.47600         0.01137        -1.24341
        -12.596          14.246          -0.100         0.22015        -0.26773        -0.01471        -0.00829         0.00929        -0.21185
         11.325           1.123          -0.100        -0.01551        -0.00841         0.00304         0.45865        -0.03515        -0.44314
          0.688         -13.923          -0.100         0.92093         0.22145         0.06553        -0.28516         0.01525        -0.63576
        -11.215         -12.697          -0.100         0.23783         0.33818         0.01722         0.04542         0.01260        -0.28325
          3.274          10.315          -0.100         2.28472        -0.05587        -0.38871        -0.63236         0.02432        -1.65236
          8.351          -5.386          -0.100         1.22864         2.34447        -0.50836         1.62514        -0.47129        -2.85377
         13.522           9.381          -0.100        -0.08909         0.22675        -0.00823         0.32010        -0.02151        -0.23101
         13.008          -8.270          -0.100        -0.33194        -0.18150         0.00586         0.77180        -0.05138        -0.43987
         -9.621          12.037          -0.100         0.76430        -0.55975        -0.06786        -0.20227         0.02858        -0.56203
         -6.620         -12.434          -0.100         0.72049         0.31687         0.04803        -0.16981         0.01517        -0.55069
          9.206           6.887          -0.100        -1.18582        -1.02560         0.30224         3.52167        -0.89386        -2.33585
          8.699          -7.996          -0.100       -25.45191         2.23876         0.67390        21.34969       -38.69748         4.10222
        -11.187          -1.884          -0.100         0.09201         1.73661         0.21417         1.92614         0.36613        -2.01816
         -2.807           6.948          -0.100        -4.25662         0.75835        -1.49790       -27.79946       -42.35135        32.05608
          8.704          10.965          -0.100         0.78427         0.94097        -0.14610        -0.01846        -0.08114        -0.76581
         -3.477          12.058          -0.100         1.05166         0.07967        -0.08142        -0.32527        -0.00516        -0.72639
         -9.866          13.330          -0.100         0.50749        -0.35856        -0.03514        -0.14133         0.01424        -0.36616
          1.340           3.515          -0.100         3.64727         4.80105        -2.69687         5.99788        -1.32482        -9.64515
          5.496         -11.223          -0.100         4.30306        -0.74452         0.75103        -1.31029        -0.03800        -2.99277
          2.587           8.272          -0.100        14.30767        -3.10166       -25.38672        -8.79896        -1.46629        -5.50870
          6.762          -0.758          -0.100         0.70192        -0.09908         0.00158         0.59278        -0.11499        -1.29470
        -12.104          13.028          -0.100         0.28851        -0.36930        -0.02306         0.00214         0.01520        -0.29066
        -11.971           1.927          -0.100        -1.47418         0.10433         0.02022         3.78177         0.54972        -2.30758
         -7.695           0.114          -0.100        -9.55643         3.21633         5.86431       -31.44803         3.35624        41.00446
         -6.775          -3.874          -0.100         9.83164         0.42957        -1.48015        -2.08054         0.26017        -7.75110
         -0.535          -5.552          -0.100       -28.11934       -11.41086         4.78007        -0.43217         2.01185        28.55152
         -5.394          13.492          -0.100         0.72780        -0.07615        -0.04513        -0.26813         0.00165        -0.45968
          0.471          -6.766          -0.100       -14.44630       -15.07846        16.12630       -16.23209        22.70676        30.67839
          2.687           2.421          -0.100       -12.70696         7.94372        -2.07563        19.28020        28.09084        -6.57324
          8.446          -6.675          -0.100         2.96531         5.87436        -2.52887         3.64869        -2.06762        -6.61401
         10.252          14.798          -0.100         0.16879         0.22780        -0.01272         0.00912        -0.00829        -0.17790
        -12.378         -13.941          -0.100         0.15469         0.23576         0.00992         0.03707         0.00749        -0.19176
          5.735           0.746          -0.100         0.79336        -0.90289         0.18220         1.24663        -0.30843        -2.03999
         14.962          -9.751          -0.100        -0.13587        -0.17840         0.00523         0.35986        -0.01807        -0.22399
         -2.650           4.182          -0.100       -17.10394        11.69191        14.62458       -10.52110       -12.99800        27.62504
        -12.503          10.971          -0.100         0.26531        -0.57317        -0.03638         0.16462         0.03333        -0.42993
        -10.460          -8.033          -0.100         0.01419         1.18378         0.08941         1.14544         0.14657        -1.15963
         12.177          11.834          -0.100         0.04507         0.31016        -0.01462         0.18275        -0.01836        -0.22782
         -1.107          10.104          -0.100         1.13323         0.53490        -0.15764         0.18408        -0.03190        -1.31731
         -2.680          -6.935          -0.100         9.61580         3.63272         4.16944        -0.36581         1.22354        -9.24999
          5.245          11.594          -0.100         1.17269         0.29288        -0.13870        -0.33099        -0.00916        -0.84170
         12.597          -7.447          -0.100        -0.39732        -0.06082        -0.00068         0.91828        -0.06552        -0.52095
        -10.373          12.282          -0.100         0.56652        -0.51561        -0.04867        -0.10545         0.02491        -0.46107
          0.326          -1.280          -0.100         4.33281       -10.30509         6.91876         9.81316       -10.89664       -14.14597
        -10.460          -8.770          -0.100         0.22984         1.07943         0.07750         0.70217         0.09753        -0.93201
         -3.674           8.144          -0.100       -11.06196        -8.80600        -4.25844       -35.44425        21.32865        46.50621
          2.728         -14.404          -0.100         0.97426         0.03242         0.06640        -0.37009         0.00552        -0.60417
         12.866          -1.269          -0.100        -0.05342         0.08110        -0.00364         0.38806        -0.02373        -0.33464
        -14.124           7.727          -0.100        -0.07083        -0.58457        -0.03159         0.59538         0.05599        -0.52456
          2.173         -14.438          -0.100         0.92959         0.08018         0.06233        -0.34374         0.00752        -0.58585
         -1.945           0.300          -0.100        -1.05884        -2.18971        -2.46072        23.75888        10.55865       -22.70004
        -11.850           4.823          -0.100        -0.69597        -1.51296        -0.14505         2.65662         0.41580        -1.96065
         -7.339          14.132          -0.100         0.58115        -0.17901        -0.03377        -0.22094         0.00568        -0.36022
         -6.492          10.235          -0.100         2.37836         0.32762        -0.36544        -0.63147        -0.07257        -1.74689
         -8.434          11.703          -0.100         1.16568        -0.51578        -0.10969        -0.41397         0.02676        -0.75171
         -0.335          -3.366          -0.100        11.48435        -1.80589        -1.47369        -0.52507        -1.27114       -10.95929
         -7.610           5.788          -0.100        31.12445        -5.12562       -17.53308       -14.73277         2.63946       -16.39167
          7.973           8.460          -0.100       -11.51974        15.96138       -19.40000       -10.81591       -28.39330        22.33566
         -7.719          12.901          -0.100         0.80988        -0.26934        -0.05763        -0.30067         0.01007        -0.50921
         -9.164           3.411          -0.100       -10.08979        -6.78132        -4.29124        29.39213        36.63439       -19.30234
         -6.695           1.158          -0.100       -21.68154         7.77660         8.35918       -11.11245        -4.59198        32.79398
          1.127          -9.325          -0.100         5.86919         5.23331         2.32947         1.32152         1.55355        -7.19072
        -13.886         -10.509          -0.100         0.07052         0.31711         0.01274         0.19108         0.01460        -0.26159
