              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
         -0.953           1.409           0.000         4.33553       -17.54015       -24.53460        -9.71091        16.60446         5.37538
         -1.174          -3.268           0.000         5.75667         3.74131         4.78079        -3.31198         1.71772        -2.44469
         -3.726           2.991           0.000         0.14978        -2.68294        -1.06732         1.33916         1.32980        -1.48894
          2.369          -2.376           0.000         1.27357        -6.33329         4.01327         1.23714        -4.00175        -2.51071
          1.345           3.482           0.000         4.83822         3.36515        -3.74913        -2.57443        -1.44809        -2.26380
          2.831           0.883           0.000        -5.41470         4.62895        -2.45029         7.98277        -7.85606        -2.56806
          2.489           1.992           0.000        -0.25751         6.87611        -4.14671         2.83104        -5.18129        -2.57352
          2.686           2.758           0.000         1.21068         4.65881        -2.59606         0.96244        -2.52782        -2.17313
          3.187           1.550           0.000        -2.27303         4.42460        -2.08286         4.67231        -4.28251        -2.39928
         -1.417          -0.370           0.000       -24.88456        10.90484         9.56347        13.97244        36.57764        10.91212
         -2.749          -1.128           0.000        -4.48798         5.69919         3.10738         7.05791         7.57061        -2.56993
          3.802          -3.507           0.000         0.44859        -2.23057         0.86637         0.80826        -0.93904        -1.25685
         -1.742          -0.394           0.000       -18.04718         7.67966         5.99369        14.13633        26.47494         3.91084
         -3.819           2.208           0.000        -0.80689        -2.91228        -1.13485         2.54758         1.96318        -1.74069
          1.169           3.530           0.000         5.18710         3.01233        -3.86129        -2.91314        -1.27851        -2.27396
          0.187           0.398           0.000       -87.29002         4.99757       -86.16706       -95.64085       -40.44239       182.93087
         -2.611           3.182           0.000         1.75995        -3.90328        -2.23200         0.20443         1.83114        -1.96438
         -0.269           0.918           0.000        11.63494       -18.52095       -64.37145       -46.01463        18.89856        34.37969
         -2.338          -3.738           0.000         2.34388         3.02574         1.92609        -0.60150         1.20465        -1.74238
         -3.188           3.374           0.000         0.95706        -2.95315        -1.37524         0.62146         1.29932        -1.57852
         -2.987          -1.711           0.000        -1.80019         5.16942         2.59730         4.26334         4.53429        -2.46315
         -0.979           1.043           0.000        -4.52918       -22.79120       -28.56351        -7.40435        26.81859        11.93353
         -1.651           2.698           0.000         4.54834        -6.37569        -5.79570        -1.96958         3.54646        -2.57876
          3.211           1.618           0.000        -2.05806         4.37622        -2.04375         4.42159        -4.05592        -2.36353
          2.744           2.787           0.000         1.13252         4.49340        -2.44978         0.99318        -2.41209        -2.12571
         -3.261          -1.493           0.000        -2.39493         4.14589         1.90683         4.76519         4.16596        -2.37026
         -0.790          -2.739           0.000         8.68642         4.67563         8.85722        -6.18148         2.55383        -2.50494
         -3.128          -2.095           0.000        -0.74890         4.53719         2.17229         2.98772         3.24376        -2.23883
         -2.668          -2.004           0.000        -0.52445         6.15483         3.46365         3.04412         4.61038        -2.51967
         -2.743          -1.648           0.000        -1.99975         6.17652         3.38060         4.57045         5.62706        -2.57070
          0.669          -1.977           0.000        11.40842        -8.84393        18.89571       -11.75512        -6.38953         0.34671
         -2.136          -3.375           0.000         2.85975         3.86460         2.70405        -0.79976         1.71154        -2.05999
         -1.448          -3.265           0.000         4.89917         4.09792         4.24326        -2.51891         1.88264        -2.38026
          1.468          -3.331           0.000         4.73937        -3.91138         3.99316        -2.40732        -1.76061        -2.33205
         -2.381          -2.816           0.000         2.00455         5.07488         3.19493         0.29305         2.70129        -2.29760
         -3.050           3.293           0.000         1.08811        -3.20916        -1.56438         0.59681         1.44921        -1.68493
         -2.591           0.318           0.000        -8.90098        -2.48771        -1.42659        11.07072        11.62791        -2.16975
          0.621          -3.811           0.000         5.47119        -1.46978         3.54100        -3.30694        -0.57714        -2.16425
          0.318           1.456           0.000        14.78814         9.12063       -35.95202       -24.96644        -7.85457        10.17829
          0.309          -0.633           0.000        -6.50917       -33.82687        98.36483       -59.22407       -48.06022        65.73324
          2.710           3.565           0.000         1.71286         3.11995        -1.71234        -0.02019        -1.30157        -1.69267
          3.934           1.131           0.000        -2.42567         2.14085        -0.81245         4.40732        -2.82663        -1.98166
          1.424           1.397           0.000        -0.89794        15.49651       -15.35707        -0.31723       -15.64751         1.21517
          2.897           0.177           0.000        -7.15245         1.03545        -0.53513         9.69229        -8.73834        -2.53984
          1.756          -0.864           0.000       -10.51221       -12.59197        10.05920         8.89000       -20.44810         1.62221
          0.288          -0.590           0.000       -16.27260       -31.96272       110.49215       -66.04749       -54.07554        82.32009
          0.215          -2.328           0.000        12.75981        -2.25989        15.37794       -11.48986        -1.42088        -1.26996
         -3.625           2.645           0.000        -0.13989        -3.06755        -1.25842         1.82586         1.72465        -1.68597
          1.612          -0.078           0.000       -23.52875        -1.93826         1.56703        16.39554       -32.35355         7.13321
         -1.471           0.596           0.000       -18.55346       -14.22129       -12.50403        10.80682        30.87833         7.74665
          3.132          -0.419           0.000        -5.63338        -1.88775         0.90461         8.21276        -6.75622        -2.57938
          3.683           0.012           0.000        -4.00845         0.03435        -0.01398         6.30892        -4.19833        -2.30047
         -3.183           0.373           0.000        -5.50031        -1.61335        -0.76099         8.06975         6.48999        -2.56944
          0.107          -3.965           0.000         5.37980        -0.23503         3.27424        -3.29840        -0.08861        -2.08141
          1.621           1.185           0.000        -5.20288        14.64400       -12.77264         4.11805       -17.46878         1.08483
          1.299          -0.437           0.000       -25.94619       -14.43985        13.32087        12.05771       -39.54583        13.88848
         -2.808           0.896           0.000        -5.43457        -4.77375        -2.54715         7.99599         7.97932        -2.56143
         -1.948          -2.553           0.000         3.11821         6.69651         5.16108        -0.55067         3.93740        -2.56754
         -0.368          -1.210           0.000        12.56049        14.38545        44.64603       -30.41320        13.56553        17.85271
         -3.055           0.633           0.000        -5.46661        -2.92885        -1.43887         8.05155         6.93949        -2.58493
         -2.924           3.234           0.000         1.23662        -3.44178        -1.75266         0.54176         1.58464        -1.77838
         -0.508          -0.540           0.000       -26.02332        42.62055        72.74252       -31.26394        68.41056        57.28726
         -1.399          -2.739           0.000         5.73785         6.13850         6.58450        -3.15118         3.36177        -2.58667
