# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.65508 -15.59492 564.96610 16101.53390 -451.12774 301.12774 -41.91358
-51.64746 -15.59492 564.96610 16948.98305 -449.57137 299.57137 4.73799
-51.63983 -15.59492 564.96610 17796.43220 -448.02327 298.02327 -11.09390
-51.63220 -15.59492 564.96610 18643.88136 -446.50492 296.50492 -87.46937
-51.62458 -15.59492 564.96610 19491.33051 -444.99371 294.99371 -129.50304
-51.61695 -15.59492 564.96610 20338.77966 -443.45749 293.45749 -135.39332
-51.60932 -15.59492 564.96610 21186.22881 -441.87176 291.87176 -88.88008
-51.60169 -15.59492 564.96610 22033.67797 -440.25220 290.25220 29.93080
-51.59407 -15.59492 564.96610 22881.12712 -438.69114 288.69114 82.76104
-51.58644 -15.59492 564.96610 23728.57627 -437.51813 287.51813 -35.31240
-51.57881 -15.59492 564.96610 24576.02542 -437.45962 287.45962 -155.17615
-51.57119 -15.59492 564.96610 25423.47458 -438.47349 288.47349 -156.15673
-51.56356 -15.59492 564.96610 26270.92373 -439.73850 289.73850 -122.49553
-51.55593 -15.59492 564.96610 27118.37288 -441.08148 291.08148 -73.39324
-51.54831 -15.59492 564.96610 27965.82203 -442.39189 292.39189 -17.91056
-51.54068 -15.59492 564.96610 28813.27119 -443.64184 293.64184 33.90071
-51.53305 -15.59492 564.96610 29660.72034 -444.83910 294.83910 35.17914
-51.52542 -15.59492 564.96610 30508.16949 -446.00647 296.00647 57.98959
-51.51780 -15.59492 564.96610 31355.61864 -447.18947 297.18947 120.67111
-51.51017 -15.59492 564.96610 32203.06780 -448.43211 298.43211 162.05706
-51.50254 -15.59492 564.96610 33050.51695 -449.61540 299.61540 120.24928
-51.49492 -15.59492 564.96610 33897.96610 -450.64846 300.64846 36.98249
-51.48729 -15.59492 564.96610 34745.41525 -451.54223 301.54223 24.39609
-51.47966 -15.59492 564.96610 35592.86441 -452.42621 302.42621 4.90881
-51.47203 -15.59492 564.96610 36440.31356 -453.35686 303.35686 22.73060
-51.46441 -15.59492 564.96610 37287.76271 -454.28032 304.28032 50.43037
-51.45678 -15.59492 564.96610 38135.21186 -455.17110 305.17110 -21.47531
-51.44915 -15.59492 564.96610 38982.66102 -456.01864 306.01864 -60.85929
-51.44153 -15.59492 564.96610 39830.11017 -456.82580 306.82580 -67.71672
-51.43390 -15.59492 564.96610 40677.55932 -457.63453 307.63453 -6.13543
-51.42627 -15.59492 564.96610 41525.00847 -458.50390 308.50390 -24.59637
-51.41864 -15.59492 564.96610 42372.45763 -458.97289 308.97289 -206.27168
-51.41102 -15.59492 564.96610 43219.90678 -458.61215 308.61215 -134.72452
-51.40339 -15.59492 564.96610 44067.35593 -457.51252 307.51252 -80.85662
-51.39576 -15.59492 564.96610 44914.80508 -456.34654 306.34654 -75.21387
-51.38814 -15.59492 564.96610 45762.25424 -455.23966 305.23966 -79.45983
-51.38051 -15.59492 564.96610 46609.70339 -454.10702 304.10702 -73.13023
-51.37288 -15.59492 564.96610 47457.15254 -452.92378 302.92378 -62.38480
-51.36525 -15.59492 564.96610 48304.60169 -451.68789 301.68789 -52.12060
-51.35763 -15.59492 564.96610 49152.05085 -450.41336 300.41336 -58.31678
-51.35000 -15.59492 564.96610 49999.50000 -449.15568 299.15568 -58.40603
-51.80000 -15.58983 1129.93220 0.00000 -439.15549 289.15549 -84.65729
-51.79237 -15.58983 1129.93220 847.44915 -437.86779 287.86779 -85.25212
-51.78475 -15.58983 1129.93220 1694.89831 -436.46841 286.46841 -91.51302
-51.77712 -15.58983 1129.93220 2542.34746 -434.97513 284.97513 -96.19101
-51.76949 -15.58983 1129.93220 3389.79661 -433.41095 283.41095 -93.61557
-51.76186 -15.58983 1129.93220 4237.24576 -431.82872 281.82872 -98.40046
-51.75424 -15.58983 1129.93220 5084.69492 -430.48170 280.48170 -118.94794
-51.74661 -15.58983 1129.93220 5932.14407 -430.77163 280.77163 -129.28984
-51.73898 -15.58983 1129.93220 6779.59322 -432.84241 282.84241 -143.67857
-51.73136 -15.58983 1129.93220 7627.04237 -435.11662 285.11662 -124.25939
-51.72373 -15.58983 1129.93220 8474.49153 -437.30879 287.30879 -123.11598
-51.71610 -15.58983 1129.93220 9321.94068 -439.41957 289.41957 -141.55165
-51.70847 -15.58983 1129.93220 10169.38983 -441.48080 291.48080 -132.85504
-51.70085 -15.58983 1129.93220 11016.83898 -443.52826 293.52826 -125.96941
-51.69322 -15.58983 1129.93220 11864.28814 -445.59800 295.59800 -123.81867
-51.68559 -15.58983 1129.93220 12711.73729 -447.72414 297.72414 -124.96614
-51.67797 -15.58983 1129.93220 13559.18644 -449.92269 299.92269 -120.67560
-51.67034 -15.58983 1129.93220 14406.63559 -451.99622 301.99622 -102.29368
-51.66271 -15.58983 1129.93220 15254.08475 -452.22795 302.22795 -71.05172
-51.65508 -15.58983 1129.93220 16101.53390 -450.70160 300.70160 -55.02298
-51.64746 -15.58983 1129.93220 16948.98305 -449.11273 299.11273 -4.93356
-51.63983 -15.58983 1129.93220 17796.43220 -447.61315 297.61315 -11.06068
-51.63220 -15.58983 1129.93220 18643.88136 -446.17091 296.17091 -71.90695
-51.62458 -15.58983 1129.93220 19491.33051 -444.73898 294.73898 -87.95525
-51.61695 -15.58983 1129.93220 20338.77966 -443.26911 293.26911 -149.90358
-51.60932 -15.58983 1129.93220 21186.22881 -441.71378 291.71378 -121.95028
-51.60169 -15.58983 1129.93220 22033.67797 -440.03237 290.03237 -20.83468
-51.59407 -15.58983 1129.93220 22881.12712 -438.23738 288.23738 61.63503
-51.58644 -15.58983 1129.93220 23728.57627 -436.72361 286.72361 34.97500
-51.57881 -15.58983 1129.93220 24576.02542 -436.70965 286.70965 -119.06976
-51.57119 -15.58983 1129.93220 25423.47458 -438.01367 288.01367 -149.69100
-51.56356 -15.58983 1129.93220 26270.92373 -439.52056 289.52056 -137.70544
-51.55593 -15.58983 1129.93220 27118.37288 -440.93373 290.93373 -108.40324
-51.54831 -15.58983 1129.93220 27965.82203 -442.22969 292.22969 -65.56495
-51.54068 -15.58983 1129.93220 28813.27119 -443.42401 293.42401 -6.54578
-51.53305 -15.58983 1129.93220 29660.72034 -444.53810 294.53810 0.42022
-51.52542 -15.58983 1129.93220 30508.16949 -445.59483 295.59483 56.16826
-51.51780 -15.58983 1129.93220 31355.61864 -446.62183 296.62183 112.98721
-51.51017 -15.58983 1129.93220 32203.06780 -447.67337 297.67337 148.02075
