# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.74661 -15.58475 1694.89831 0.00000 -428.88776 278.88776 -137.06506
-51.73898 -15.58475 1694.89831 847.44915 -431.50412 281.50412 -168.52280
-51.73136 -15.58475 1694.89831 1694.89831 -433.92235 283.92235 -167.22279
-51.72373 -15.58475 1694.89831 2542.34746 -436.18509 286.18509 -156.19755
-51.71610 -15.58475 1694.89831 3389.79661 -438.34423 288.34423 -151.04701
-51.70847 -15.58475 1694.89831 4237.24576 -440.44556 290.44556 -157.14010
-51.70085 -15.58475 1694.89831 5084.69492 -442.53119 292.53119 -182.43482
-51.69322 -15.58475 1694.89831 5932.14407 -444.64257 294.64257 -184.12124
-51.68559 -15.58475 1694.89831 6779.59322 -446.82339 296.82339 -170.07496
-51.67797 -15.58475 1694.89831 7627.04237 -449.12232 299.12232 -142.24042
-51.67034 -15.58475 1694.89831 8474.49153 -451.58563 301.58563 -101.19215
-51.66271 -15.58475 1694.89831 9321.94068 -451.83925 301.83925 -45.54744
-51.65508 -15.58475 1694.89831 10169.38983 -450.12448 300.12448 -49.25272
-51.64746 -15.58475 1694.89831 11016.83898 -448.60482 298.60482 -27.25532
-51.63983 -15.58475 1694.89831 11864.28814 -447.21619 297.21619 -25.31184
-51.63220 -15.58475 1694.89831 12711.73729 -445.89598 295.89598 -41.46195
-51.62458 -15.58475 1694.89831 13559.18644 -444.58739 294.58739 -25.81584
-51.61695 -15.58475 1694.89831 14406.63559 -443.23556 293.23556 -171.10838
-51.60932 -15.58475 1694.89831 15254.08475 -441.78375 291.78375 -145.30283
-51.60169 -15.58475 1694.89831 16101.53390 -440.16927 290.16927 -59.47804
-51.59407 -15.58475 1694.89831 16948.98305 -438.32051 288.32051 45.94960
-51.58644 -15.58475 1694.89831 17796.43220 -436.18631 286.18631 114.69836
-51.57881 -15.58475 1694.89831 18643.88136 -436.35757 286.35757 -83.51149
-51.57119 -15.58475 1694.89831 19491.33051 -438.15013 288.15013 -144.78698
-51.56356 -15.58475 1694.89831 20338.77966 -439.72059 289.72059 -164.30042
-51.55593 -15.58475 1694.89831 21186.22881 -441.10075 291.10075 -156.24651
-51.74661 -15.57966 2259.86441 0.00000 -428.07957 278.07957 -152.42926
-51.73898 -15.57966 2259.86441 847.44915 -430.52182 280.52182 -179.79096
-51.73136 -15.57966 2259.86441 1694.89831 -432.91761 282.91761 -196.10909
-51.72373 -15.57966 2259.86441 2542.34746 -435.17746 285.17746 -194.98945
-51.71610 -15.57966 2259.86441 3389.79661 -437.33969 287.33969 -190.17712
-51.70847 -15.57966 2259.86441 4237.24576 -439.44633 289.44633 -208.88722
-51.70085 -15.57966 2259.86441 5084.69492 -441.53780 291.53780 -227.97736
-51.69322 -15.57966 2259.86441 5932.14407 -443.65408 293.65408 -248.38316
-51.68559 -15.57966 2259.86441 6779.59322 -445.83630 295.83630 -235.78730
-51.67797 -15.57966 2259.86441 7627.04237 -448.12442 298.12442 -188.46791
-51.67034 -15.57966 2259.86441 8474.49153 -450.48392 300.48392 -127.01460
-51.66271 -15.57966 2259.86441 9321.94068 -450.84598 300.84598 -102.80614
-51.65508 -15.57966 2259.86441 10169.38983 -449.39203 299.39203 -100.31812
-51.64746 -15.57966 2259.86441 11016.83898 -448.05183 298.05183 -82.50954
-51.63983 -15.57966 2259.86441 11864.28814 -446.83149 296.83149 -74.30711
-51.63220 -15.57966 2259.86441 12711.73729 -445.67659 295.67659 -72.83420
-51.62458 -15.57966 2259.86441 13559.18644 -444.53294 294.53294 -52.13363
-51.61695 -15.57966 2259.86441 14406.63559 -443.34750 293.34750 -119.99455
-51.60932 -15.57966 2259.86441 15254.08475 -442.06600 292.06600 -120.45275
-51.60169 -15.57966 2259.86441 16101.53390 -440.63166 290.63166 -80.74389
-51.59407 -15.57966 2259.86441 16948.98305 -438.99516 288.99516 11.03760
-51.58644 -15.57966 2259.86441 17796.43220 -437.32835 287.32835 118.00346
-51.57881 -15.57966 2259.86441 18643.88136 -437.39695 287.39695 -7.98241
-51.57119 -15.57966 2259.86441 19491.33051 -438.88164 288.88164 -112.22497
-51.56356 -15.57966 2259.86441 20338.77966 -440.30384 290.30384 -159.72842
-51.55593 -15.57966 2259.86441 21186.22881 -441.56149 291.56149 -157.34076
-51.74661 -15.57458 2824.83051 0.00000 -428.01699 278.01699 -169.09127
-51.73898 -15.57458 2824.83051 847.44915 -429.91039 279.91039 -185.89610
-51.73136 -15.57458 2824.83051 1694.89831 -432.10735 282.10735 -217.70251
-51.72373 -15.57458 2824.83051 2542.34746 -434.28827 284.28827 -233.29259
-51.71610 -15.57458 2824.83051 3389.79661 -436.40720 286.40720 -237.54900
-51.70847 -15.57458 2824.83051 4237.24576 -438.48374 288.48374 -269.70743
-51.70085 -15.57458 2824.83051 5084.69492 -440.54817 290.54817 -271.03171
-51.69322 -15.57458 2824.83051 5932.14407 -442.63188 292.63188 -316.05233
-51.68559 -15.57458 2824.83051 6779.59322 -444.76062 294.76062 -320.09979
-51.67797 -15.57458 2824.83051 7627.04237 -446.92090 296.92090 -266.61468
-51.67034 -15.57458 2824.83051 8474.49153 -448.85088 298.85088 -177.61798
-51.66271 -15.57458 2824.83051 9321.94068 -449.36420 299.36420 -189.12106
-51.65508 -15.57458 2824.83051 10169.38983 -448.49807 298.49807 -201.01634
-51.64746 -15.57458 2824.83051 11016.83898 -447.45258 297.45258 -188.67941
-51.63983 -15.57458 2824.83051 11864.28814 -446.45930 296.45930 -165.91627
-51.63220 -15.57458 2824.83051 12711.73729 -445.51372 295.51372 -135.79020
-51.62458 -15.57458 2824.83051 13559.18644 -444.57733 294.57733 -93.61059
