# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.35763 -15.48814 1129.93220 21186.22881 -446.20019 296.20019 -62.15354
-51.35000 -15.48814 1129.93220 22033.67797 -446.49312 296.49312 -20.06488
-51.54831 -15.48305 1694.89831 0.00000 -456.41356 306.41356 -105.30704
-51.54068 -15.48305 1694.89831 847.44915 -454.93400 304.93400 -78.31831
-51.53305 -15.48305 1694.89831 1694.89831 -453.45595 303.45595 -20.05489
-51.52542 -15.48305 1694.89831 2542.34746 -451.97715 301.97715 46.17358
-51.51780 -15.48305 1694.89831 3389.79661 -450.49834 300.49834 107.21295
-51.51017 -15.48305 1694.89831 4237.24576 -449.03027 299.03027 124.86048
-51.50254 -15.48305 1694.89831 5084.69492 -447.84540 297.84540 70.41790
-51.49492 -15.48305 1694.89831 5932.14407 -447.01262 297.01262 21.18340
-51.48729 -15.48305 1694.89831 6779.59322 -446.54612 296.54612 55.23736
-51.47966 -15.48305 1694.89831 7627.04237 -446.24512 296.24512 67.66712
-51.47203 -15.48305 1694.89831 8474.49153 -445.94412 295.94412 36.37967
-51.46441 -15.48305 1694.89831 9321.94068 -445.64312 295.64312 -15.60171
-51.45678 -15.48305 1694.89831 10169.38983 -445.34201 295.34201 -18.92256
-51.44915 -15.48305 1694.89831 11016.83898 -445.04111 295.04111 5.87483
-51.44153 -15.48305 1694.89831 11864.28814 -444.74011 294.74011 -38.65122
-51.43390 -15.48305 1694.89831 12711.73729 -444.43911 294.43911 -81.65819
-51.42627 -15.48305 1694.89831 13559.18644 -444.14668 294.14668 -68.11178
-51.41864 -15.48305 1694.89831 14406.63559 -443.98721 293.98721 3.57319
-51.41102 -15.48305 1694.89831 15254.08475 -443.98105 293.98105 -52.59999
-51.40339 -15.48305 1694.89831 16101.53390 -444.13526 294.13526 -42.59053
-51.39576 -15.48305 1694.89831 16948.98305 -444.35007 294.35007 -48.71834
-51.38814 -15.48305 1694.89831 17796.43220 -444.56488 294.56488 25.58086
-51.38051 -15.48305 1694.89831 18643.88136 -444.77968 294.77968 162.48138
-51.37288 -15.48305 1694.89831 19491.33051 -444.99429 294.99429 130.19475
-51.36525 -15.48305 1694.89831 20338.77966 -445.20931 295.20931 -23.79804
-51.35763 -15.48305 1694.89831 21186.22881 -445.42412 295.42412 -46.87391
-51.35000 -15.48305 1694.89831 22033.67797 -445.63893 295.63893 -4.37688
-51.54831 -15.47797 2259.86441 0.00000 -455.04171 305.04171 -107.57431
-51.54068 -15.47797 2259.86441 847.44915 -453.65232 303.65232 -91.44075
-51.53305 -15.47797 2259.86441 1694.89831 -452.26293 302.26293 -65.89680
-51.52542 -15.47797 2259.86441 2542.34746 -450.87354 300.87354 -21.87741
-51.51780 -15.47797 2259.86441 3389.79661 -449.48414 299.48414 14.37927
-51.51017 -15.47797 2259.86441 4237.24576 -448.13865 298.13865 58.45239
-51.50254 -15.47797 2259.86441 5084.69492 -447.07705 297.07705 125.14641
-51.49492 -15.47797 2259.86441 5932.14407 -446.29499 296.29499 77.95663
-51.48729 -15.47797 2259.86441 6779.59322 -445.80363 295.80363 49.61276
-51.47966 -15.47797 2259.86441 7627.04237 -445.53314 295.53314 50.64665
-51.47203 -15.47797 2259.86441 8474.49153 -445.26723 295.26723 39.01713
-51.46441 -15.47797 2259.86441 9321.94068 -445.00132 295.00132 -4.57102
-51.45678 -15.47797 2259.86441 10169.38983 -444.73542 294.73542 -45.32832
-51.44915 -15.47797 2259.86441 11016.83898 -444.46951 294.46951 -29.02598
-51.44153 -15.47797 2259.86441 11864.28814 -444.20360 294.20360 -24.72561
-51.43390 -15.47797 2259.86441 12711.73729 -443.93769 293.93769 -4.14262
-51.42627 -15.47797 2259.86441 13559.18644 -443.69421 293.69421 -19.78676
-51.41864 -15.47797 2259.86441 14406.63559 -443.56298 293.56298 -140.72284
-51.41102 -15.47797 2259.86441 15254.08475 -443.53857 293.53857 -230.02554
-51.40339 -15.47797 2259.86441 16101.53390 -443.62721 293.62721 -42.04443
-51.39576 -15.47797 2259.86441 16948.98305 -443.79221 293.79221 30.60733
-51.38814 -15.47797 2259.86441 17796.43220 -443.95763 293.95763 30.94823
-51.38051 -15.47797 2259.86441 18643.88136 -444.12306 294.12306 31.68264
-51.37288 -15.47797 2259.86441 19491.33051 -444.28848 294.28848 43.49216
-51.36525 -15.47797 2259.86441 20338.77966 -444.45391 294.45391 11.21538
-51.35763 -15.47797 2259.86441 21186.22881 -444.61933 294.61933 11.64448
-51.35000 -15.47797 2259.86441 22033.67797 -444.78475 294.78475 0.45049
-51.54831 -15.47288 2824.83051 0.00000 -453.66986 303.66986 -110.93262
-51.54068 -15.47288 2824.83051 847.44915 -452.36988 302.36988 -101.81215
-51.53305 -15.47288 2824.83051 1694.89831 -451.06990 301.06990 -98.32239
-51.52542 -15.47288 2824.83051 2542.34746 -449.76993 299.76993 -74.52886
-51.51780 -15.47288 2824.83051 3389.79661 -448.46995 298.46995 -56.72472
-51.51017 -15.47288 2824.83051 4237.24576 -447.24496 297.24496 -15.57328
-51.50254 -15.47288 2824.83051 5084.69492 -446.28213 296.28213 74.17655
-51.49492 -15.47288 2824.83051 5932.14407 -445.55534 295.55534 41.89574
-51.48729 -15.47288 2824.83051 6779.59322 -445.07275 295.07275 -10.85098
-51.47966 -15.47288 2824.83051 7627.04237 -444.82116 294.82116 -8.82352
-51.47203 -15.47288 2824.83051 8474.49153 -444.59035 294.59035 -7.05915
-51.46441 -15.47288 2824.83051 9321.94068 -444.35953 294.35953 -50.10017
-51.45678 -15.47288 2824.83051 10169.38983 -444.12872 294.12872 -115.55619
-51.44915 -15.47288 2824.83051 11016.83898 -443.89791 293.89791 -76.00825
-51.44153 -15.47288 2824.83051 11864.28814 -443.66709 293.66709 -34.73073
-51.43390 -15.47288 2824.83051 12711.73729 -443.43628 293.43628 1.45111
-51.42627 -15.47288 2824.83051 13559.18644 -443.23531 293.23531 -30.88154
-51.41864 -15.47288 2824.83051 14406.63559 -443.12014 293.12014 -179.83701
-51.41102 -15.47288 2824.83051 15254.08475 -443.08123 293.08123 -237.19100
-51.40339 -15.47288 2824.83051 16101.53390 -443.12245 293.12245 -136.75302
-51.39576 -15.47288 2824.83051 16948.98305 -443.23435 293.23435 -96.51281
-51.38814 -15.47288 2824.83051 17796.43220 -443.35039 293.35039 -100.89042
-51.38051 -15.47288 2824.83051 18643.88136 -443.46643 293.46643 -108.60198
-51.37288 -15.47288 2824.83051 19491.33051 -443.58246 293.58246 -104.15695
-51.36525 -15.47288 2824.83051 20338.77966 -443.69850 293.69850 -55.20651
-51.35763 -15.47288 2824.83051 21186.22881 -443.81454 293.81454 -17.79528
-51.35000 -15.47288 2824.83051 22033.67797 -443.93057 293.93057 -28.55051
-51.54831 -15.46780 3389.79661 0.00000 -452.29801 302.29801 -115.40225
-51.54068 -15.46780 3389.79661 847.44915 -451.08745 301.08745 -108.83992
-51.53305 -15.46780 3389.79661 1694.89831 -449.87688 299.87688 -118.11318
-51.52542 -15.46780 3389.79661 2542.34746 -448.66632 298.66632 -113.38394
-51.51780 -15.46780 3389.79661 3389.79661 -447.45575 297.45575 -108.07281
-51.51017 -15.46780 3389.79661 4237.24576 -446.34111 296.34111 -95.61124
-51.50254 -15.46780 3389.79661 5084.69492 -445.46419 295.46419 -67.29711
-51.49492 -15.46780 3389.79661 5932.14407 -444.79509 294.79509 -73.73733
-51.48729 -15.46780 3389.79661 6779.59322 -444.34037 294.34037 -120.89582
-51.47966 -15.46780 3389.79661 7627.04237 -444.10918 294.10918 -107.99190
-51.47203 -15.46780 3389.79661 8474.49153 -443.91346 293.91346 -94.51403
-51.46441 -15.46780 3389.79661 9321.94068 -443.71774 293.71774 -140.95136
-51.45678 -15.46780 3389.79661 10169.38983 -443.52202 293.52202 -226.70437
-51.44915 -15.46780 3389.79661 11016.83898 -443.32630 293.32630 -132.76298
-51.44153 -15.46780 3389.79661 11864.28814 -443.13058 293.13058 -65.79425
-51.43390 -15.46780 3389.79661 12711.73729 -442.93486 292.93486 -50.36159
-51.42627 -15.46780 3389.79661 13559.18644 -442.76855 292.76855 -85.77893
-51.41864 -15.46780 3389.79661 14406.63559 -442.66348 292.66348 -144.18308
-51.41102 -15.46780 3389.79661 15254.08475 -442.61194 292.61194 -119.12257
-51.40339 -15.46780 3389.79661 16101.53390 -442.61639 292.61639 -297.03017
-51.39576 -15.46780 3389.79661 16948.98305 -442.67649 292.67649 -364.86338
