# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.50254 -15.59492 564.96610 33050.51695 -449.61540 299.61540 120.24928
-51.80000 -15.58983 1129.93220 0.00000 -439.15549 289.15549 -84.65729
-51.79237 -15.58983 1129.93220 847.44915 -437.86779 287.86779 -85.25212
-51.78475 -15.58983 1129.93220 1694.89831 -436.46841 286.46841 -91.51302
-51.77712 -15.58983 1129.93220 2542.34746 -434.97513 284.97513 -96.19101
-51.76949 -15.58983 1129.93220 3389.79661 -433.41095 283.41095 -93.61557
-51.76186 -15.58983 1129.93220 4237.24576 -431.82872 281.82872 -98.40046
-51.75424 -15.58983 1129.93220 5084.69492 -430.48170 280.48170 -118.94794
-51.74661 -15.58983 1129.93220 5932.14407 -430.77163 280.77163 -129.28984
-51.73898 -15.58983 1129.93220 6779.59322 -432.84241 282.84241 -143.67857
-51.73136 -15.58983 1129.93220 7627.04237 -435.11662 285.11662 -124.25939
-51.72373 -15.58983 1129.93220 8474.49153 -437.30879 287.30879 -123.11598
-51.71610 -15.58983 1129.93220 9321.94068 -439.41957 289.41957 -141.55165
-51.70847 -15.58983 1129.93220 10169.38983 -441.48080 291.48080 -132.85504
-51.70085 -15.58983 1129.93220 11016.83898 -443.52826 293.52826 -125.96941
-51.69322 -15.58983 1129.93220 11864.28814 -445.59800 295.59800 -123.81867
-51.68559 -15.58983 1129.93220 12711.73729 -447.72414 297.72414 -124.96614
-51.67797 -15.58983 1129.93220 13559.18644 -449.92269 299.92269 -120.67560
-51.67034 -15.58983 1129.93220 14406.63559 -451.99622 301.99622 -102.29368
-51.66271 -15.58983 1129.93220 15254.08475 -452.22795 302.22795 -71.05172
-51.65508 -15.58983 1129.93220 16101.53390 -450.70160 300.70160 -55.02298
-51.64746 -15.58983 1129.93220 16948.98305 -449.11273 299.11273 -4.93356
-51.63983 -15.58983 1129.93220 17796.43220 -447.61315 297.61315 -11.06068
-51.63220 -15.58983 1129.93220 18643.88136 -446.17091 296.17091 -71.90695
-51.62458 -15.58983 1129.93220 19491.33051 -444.73898 294.73898 -87.95525
-51.61695 -15.58983 1129.93220 20338.77966 -443.26911 293.26911 -149.90358
-51.60932 -15.58983 1129.93220 21186.22881 -441.71378 291.71378 -121.95028
-51.60169 -15.58983 1129.93220 22033.67797 -440.03237 290.03237 -20.83468
-51.59407 -15.58983 1129.93220 22881.12712 -438.23738 288.23738 61.63503
-51.58644 -15.58983 1129.93220 23728.57627 -436.72361 286.72361 34.97500
-51.57881 -15.58983 1129.93220 24576.02542 -436.70965 286.70965 -119.06976
-51.57119 -15.58983 1129.93220 25423.47458 -438.01367 288.01367 -149.69100
-51.56356 -15.58983 1129.93220 26270.92373 -439.52056 289.52056 -137.70544
-51.55593 -15.58983 1129.93220 27118.37288 -440.93373 290.93373 -108.40324
-51.54831 -15.58983 1129.93220 27965.82203 -442.22969 292.22969 -65.56495
-51.54068 -15.58983 1129.93220 28813.27119 -443.42401 293.42401 -6.54578
-51.53305 -15.58983 1129.93220 29660.72034 -444.53810 294.53810 0.42022
-51.52542 -15.58983 1129.93220 30508.16949 -445.59483 295.59483 56.16826
-51.51780 -15.58983 1129.93220 31355.61864 -446.62183 296.62183 112.98721
-51.51017 -15.58983 1129.93220 32203.06780 -447.67337 297.67337 148.02075
-51.50254 -15.58983 1129.93220 33050.51695 -448.84334 298.84334 148.34027
-51.80000 -15.58475 1694.89831 0.00000 -437.39737 287.39737 -116.18967
-51.79237 -15.58475 1694.89831 847.44915 -436.19640 286.19640 -103.96408
-51.78475 -15.58475 1694.89831 1694.89831 -434.86813 284.86813 -119.82332
-51.77712 -15.58475 1694.89831 2542.34746 -433.43006 283.43006 -115.27828
-51.76949 -15.58475 1694.89831 3389.79661 -431.89558 281.89558 -109.13848
-51.76186 -15.58475 1694.89831 4237.24576 -430.27577 280.27577 -113.68808
-51.75424 -15.58475 1694.89831 5084.69492 -428.59336 278.59336 -130.70773
-51.74661 -15.58475 1694.89831 5932.14407 -428.88776 278.88776 -137.06506
-51.73898 -15.58475 1694.89831 6779.59322 -431.50412 281.50412 -168.52280
-51.73136 -15.58475 1694.89831 7627.04237 -433.92235 283.92235 -167.22279
